stid,station_name,lat,lon,elev,begints,iem_network
EET,ALABASTER,33.18,-86.78,178.0,1998-07-01 00:53:00-05,AL_ASOS
8A0,Albertville,34.2291,-86.2558,315.0,2006-04-01 00:18:00-06,AL_ASOS
ALX,ALEXANDER_CITY,32.91474,-85.96296,209.0,2003-06-01 00:00:00-05,AL_ASOS
79J,ANDALUSIA/OPP ARPT,31.30875,-86.39378,94.0,1973-01-01 00:00:00-06,AL_ASOS
ANB,ANNISTON/CALHOUN CO,33.58817,-85.85811,186.0,1948-01-01 00:00:00-06,AL_ASOS
AUO,AUBURN-OPELIKA APT,32.615109999999994,-85.434,236.0,1992-06-01 13:00:00-05,AL_ASOS
EKY,Bessemer,33.3126,-86.9263,213.726,2016-08-19 10:56:00-05,AL_ASOS
BHM,BIRMINGHAM MUNI,33.565459999999995,-86.74488000000001,192.0,1948-01-01 06:00:00-06,AL_ASOS
OZR,CAIRNS AAF/OZARK,31.27577,-85.71335,91.0,1954-11-01 00:00:00-06,AL_ASOS
9A4,Courtland,34.65939,-87.34883,179.0,2010-10-19 06:09:00-05,AL_ASOS
CMD,Cullman,34.2687,-86.85799999999999,289.024,2013-07-09 07:15:00-05,AL_ASOS
3A1,CULLMAN/FOLSOM_FIELD_ARPT,34.27,-86.86,294.0,1973-01-01 00:00:00-06,AL_ASOS
DCU,DECATUR/PRYOR FIELD,34.6525,-86.94528000000001,177.0,1996-11-01 00:53:00-06,AL_ASOS
DYA,Demopolis ,32.4638,-87.9541,32.2452,2013-08-17 05:55:00-05,AL_ASOS
DHN,DOTHAN MUNICIPAL,31.32,-85.45,122.0,1949-01-01 00:00:00-06,AL_ASOS
EDN,Enterprise ,31.2982,-85.9048,104.84700000000001,2014-08-20 13:15:00-05,AL_ASOS
EUF,Eufaula,31.9513,-85.1289,87.0,2008-09-01 00:29:00-05,AL_ASOS
GZH,EVERGREEN,31.415809999999997,-87.04408000000001,79.0,1997-04-01 00:53:00-06,AL_ASOS
4R4,Fairhope,30.4605,-87.87702,27.7,2008-10-01 00:00:00-05,AL_ASOS
CQF,Fairhope,30.4605,-87.87703,27.0,2011-06-06 09:35:00-05,AL_ASOS
0J4,Florala,31.04247,-86.31156,95.7,2006-06-01 00:58:00-05,AL_ASOS
NBJ,Foley,30.3891,-87.6353,15.187000000000001,2012-05-26 03:54:00-05,AL_ASOS
4A9,FORT_PAYNE,34.473690000000005,-85.72139,267.0,2004-03-01 00:02:00-06,AL_ASOS
HEY,Fort Rucker,31.346,-85.65433,97.0,2007-04-01 01:53:00-05,AL_ASOS
GAD,GADSDEN MUNI (AWOS),33.97265,-86.08908000000001,173.0,1973-01-01 10:00:00-06,AL_ASOS
PRN,Greenville,31.84569,-86.61075,137.5,2007-03-01 03:08:00-06,AL_ASOS
JKA,Gulf Shores,30.290459999999996,-87.67178,4.9,2006-04-01 00:02:00-06,AL_ASOS
1M4,Haleyville,34.28035,-87.60044,284.0,2007-11-01 00:56:00-05,AL_ASOS
HSV,HUNTSVILLE/MADISON,34.64389,-86.78611,196.0,1958-09-01 09:00:00-05,AL_ASOS
MDQ,HUNTSVILLE/MADISON COUNTY EXEC,34.86,-86.56,230.0,2002-05-01 00:02:00-05,AL_ASOS
LOR,LOWE AHP/FT. RUCKER,31.355829999999997,-85.75111,74.0,1989-08-01 00:00:00-05,AL_ASOS
JFX,Manchester,33.902,-87.3142,147.0,2011-02-12 19:55:00-06,AL_ASOS
A08,Marion,32.5105,-87.3848,62.9503,2015-03-23 22:55:00-05,AL_ASOS
MXF,MAXWELL AFB/MONTGOM,32.382940000000005,-86.36578,51.0,1946-01-01 00:00:00-06,AL_ASOS
MOB,MOBILE/BATES FIELD,30.68833,-88.24556,67.0,1948-01-01 06:00:00-06,AL_ASOS
BFM,MOBILE DOWNTOWN,30.62678,-88.06808000000001,8.0,1948-01-01 00:00:00-06,AL_ASOS
MGM,MONTGOMERY/DANNELLY,32.30064,-86.39397,62.0,1948-01-01 06:00:00-06,AL_ASOS
MSL,MUSCLE SHOALS RGNL,34.74385,-87.59962,168.0,1948-12-01 00:00:00-06,AL_ASOS
PLR,Pell City,33.5588,-86.2491,144.686,2016-07-27 08:55:00-05,AL_ASOS
RAM,PHI OIL PLAT,29.05,-88.08333,10.0,2010-03-21 08:05:00-05,AL_ASOS
1A9,Prattville,32.4387,-86.5127,63.5634,2014-06-17 14:55:00-05,AL_ASOS
HUA,REDSTONE ARSENAL,34.67865,-86.68478,209.0,2004-09-01 07:55:00-05,AL_ASOS
4A6,Scottsburo,34.6887,-86.0059,198.0,2010-12-01 00:15:00-06,AL_ASOS
SEM,Selma,32.3439,-86.9878,44.255,2014-01-10 08:15:00-06,AL_ASOS
SXS,Shell AHP,31.361159999999998,-85.85494,122.259,2014-05-20 20:56:00-05,AL_ASOS
SCD,Sylacauga,33.1718,-86.3055,170.50400000000002,2014-11-05 11:35:00-06,AL_ASOS
ASN,Talladega ,33.5695,-86.0512,155.316,2014-08-20 13:15:00-05,AL_ASOS
TOI,TROY MUNICIPAL,31.86042,-86.01214,121.0,1969-05-01 06:00:00-05,AL_ASOS
TCL,TUSCALOOSA MUNI,33.2119,-87.6161,52.0,1949-01-01 00:00:00-06,AL_ASOS
PADK,ADAK NAS/MITCHELL,51.877959999999995,-176.64603,4.0,1948-01-01 05:00:00-06,AK_ASOS
PAKH,AKHIOK,56.94,-154.18,13.0,2010-02-27 03:21:00-06,AK_ASOS
PAUT,Akun,54.1446,-165.6041,20.6849,2014-05-16 08:55:00-05,AK_ASOS
PALP,Alpine,70.3443,-150.9447,7.99874,2005-03-01 06:48:00-06,AK_ASOS
PAFM,AMBLER,67.10631,-157.85747,88.0,1988-02-01 12:00:00-06,AK_ASOS
PAKP,ANAKTUVUK PASS,68.1336,-151.74334,643.0,1985-03-01 03:00:00-06,AK_ASOS
PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611000000002,40.0,1953-11-01 04:00:00-06,AK_ASOS
PAGN,ANGOON,57.5036,-134.5851,6.9889,2010-02-23 00:56:00-06,AK_ASOS
PANI,ANIAK (AWOS),61.5816,-159.54304,26.0,1948-07-01 05:00:00-05,AK_ASOS
PANT,ANNETTE ISLAND (ASOS),55.04244,-131.57223,34.0,1948-01-01 04:00:00-06,AK_ASOS
PANV,ANVIK AIRPORT,62.647330000000004,-160.19007,99.0,1995-03-01 03:00:00-06,AK_ASOS
PARC,ARCTIC VILLAGE,68.11466999999999,-145.57942,636.0,1995-08-01 03:00:00-05,AK_ASOS
PAAK,ATKA AIRPORT,52.22059,-174.20618000000002,17.0,1948-01-01 12:00:00-06,AK_ASOS
PATQ,ATQASUK,70.46728,-157.43573999999998,29.0,2010-02-23 00:56:00-06,AK_ASOS
PABR,BARROW/POST-ROGERS (ASOS),71.28256999999999,-156.79224,4.0,1948-01-01 04:00:00-06,AK_ASOS
PABA,BARTER ISLAND(AWOS),70.13399,-143.58187,2.0,1948-01-01 04:00:00-06,AK_ASOS
PABE,BETHEL AIRPORT (ASOS),60.785830000000004,-161.82639,46.0,1948-01-01 04:00:00-06,AK_ASOS
PABT,BETTLES FIELD (ASOS),66.91611,-151.50888999999998,196.0,1948-01-01 04:00:00-06,AK_ASOS
